date,Rm-Rf,SMB,HML,RMW,CMA,Rf,Mom,ST_Rev,LT_Rev,Rp_ew_cc
9/8/2000,-0.6,0.41,0.09,-0.26,-0.05,0.022,0.06,0.24,0.62,0.003989279
10/8/2000,-1.03,-0.11,1.24,0.86,0.97,0.022,-1.11,-0.71,-0.07,0.00619666
11/8/2000,0.86,0.23,0.32,0.47,0.5,0.022,-0.26,-0.01,0.32,-0.001295309
14/08/2000,1.24,-0.4,-0.43,-0.26,-0.02,0.022,0.6,0.23,0.5,-0.009889912
15/08/2000,-0.46,-0.09,0.28,-0.34,-0.17,0.022,-0.23,0.67,0.37,-0.002112897
16/08/2000,-0.18,0.61,-0.19,-0.69,-0.31,0.022,-0.13,0.89,0.49,0.005526534
17/08/2000,1.12,-0.57,-0.63,-0.51,-0.44,0.022,1.06,0.09,-0.22,0.00194251
18/08/2000,-0.28,0.08,0.05,-0.22,-0.05,0.022,0.14,0.69,0.61,-0.004322133
21/08/2000,0.4,-0.14,-0.72,0.2,-0.13,0.022,0.52,0.79,-0.37,0.002755334
22/08/2000,-0.01,0.12,-0.03,-0.18,-0.02,0.022,0.17,-0.31,0.22,-0.004636825
23/08/2000,0.55,-0.25,-0.93,-0.48,-0.32,0.022,1.21,0.18,0,-0.003624813
24/08/2000,0.34,0.47,-0.67,-0.7,0.18,0.022,0.89,0.15,0.56,-0.005323629
25/08/2000,-0.04,0.6,-0.52,-0.15,0.23,0.022,0.17,0.55,-0.04,0.003679923
28/08/2000,0.49,-0.23,-0.16,-0.06,-0.39,0.022,0.27,-0.37,-0.26,0.001892897
29/08/2000,-0.03,0.68,-0.41,-0.25,-0.34,0.022,0,0.26,0.2,-0.006545685
30/08/2000,-0.11,0.61,-0.07,-1.02,-0.12,0.022,0.51,-0.13,-0.34,-0.004466438
31/08/2000,1.19,0.03,-0.79,-0.38,-0.24,0.022,1.2,-1.37,0.26,-0.002823267
1/9/2000,0.38,0.15,-0.39,-0.58,-0.13,0.025,-0.08,0.03,0.36,-0.003855662
5/9/2000,-0.97,0.28,1.46,0.28,0.55,0.025,-1.18,0.75,0.21,0.004464949
6/9/2000,-1.23,0.44,2.14,0.95,0.96,0.025,-1,1.15,-0.5,0.003455519
7/9/2000,0.8,0.34,-0.76,0.07,-0.34,0.025,1.59,-0.64,0.08,-0.016385122
8/9/2000,-0.83,-0.35,1.22,1.16,1.23,0.025,-0.56,1.09,-0.39,-0.003053123
11/9/2000,-0.45,-0.27,1.45,0.81,0.89,0.025,-0.34,0.29,-0.41,-0.004831569
